SampleID,Sample Uni ID,Fish-Time-Site,Fish Species,Time-Site,Time,Site,Mass(g),d15N,d13C,N%,C%,C:N,Trophic level_reference,Trophic level,Fishery,Feeding habit 1,Feeding habit 2,Feeding habit 3,Feeding habit abbr,Feeding habit,Diet_reference,Kingdom,Phylum,Subphylum,Superclass,Class,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies
1,Ostorhinchus fasciatus-Jan-South-1,Ostorhinchus fasciatus-Jan-South,Ostorhinchus fasciatus,Jan-South,Jan,South,1.042,14.02,-16.0512,13.4,43.18,3.22,3.85,3.54,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
5,Ostorhinchus fasciatus-Jan-South-2,Ostorhinchus fasciatus-Jan-South,Ostorhinchus fasciatus,Jan-South,Jan,South,1.046,14.31,-16.4098,14.45,46.94,3.25,3.94,3.63,Wild,Zoobenthivore,Carnivore,Level 4 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Ostorhinchus,Ostorhinchus fasciatus,
6,Arnoglossus japonicus-Jan-South-1,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.059,11.492,-17.2409,13.32,44.27,3.32,3.11,2.73,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
7,Arnoglossus japonicus-Jan-South-2,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.03,11.705,-17.222,13.89,45.83,3.3,3.17,2.8,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
8,Arnoglossus japonicus-Jan-South-3,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.09,11.019,-17.3329,14.43,46.91,3.25,2.97,2.58,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
9,Arnoglossus japonicus-Jan-South-4,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.017,11.697,-16.8968,13.5,43.57,3.23,3.17,2.8,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
10,Arnoglossus japonicus-Jan-South-5,Arnoglossus japonicus-Jan-South,Arnoglossus japonicus,Jan-South,Jan,South,1.03,11.599,-17.0493,13.86,45.75,3.3,3.14,2.77,Wild,Zoobenthivore/Piscivore,Carnivore,Level 1 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Pleuronectiformes,Pleuronectoidei,Bothidae,,Arnoglossus,Arnoglossus japonicus,
11,Inegocia japonica-Jan-South-1,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.051,13.786,-16.0683,14.45,45.69,3.16,3.78,3.46,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
13,Inegocia japonica-Jan-South-2,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.071,13.455,-15.8156,14.62,46.27,3.16,3.68,3.36,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
14,Inegocia japonica-Jan-South-3,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.011,13.382,-15.999,14.47,46.15,3.19,3.66,3.33,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
15,Inegocia japonica-Jan-South-4,Inegocia japonica-Jan-South,Inegocia japonica,Jan-South,Jan,South,1.024,13.181,-16.0869,14.75,46.32,3.14,3.6,3.27,Wild,Zoobenthivore/Piscivore,Carnivore,Level 2 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Scorpaeniformes,Platycephaloidei,Platycephalidae,,Inegocia,Inegocia japonica,
16,Johnius heterolepis-Jan-South-1,Johnius heterolepis-Jan-South,Johnius heterolepis,Jan-South,Jan,South,1.081,13.07,-16.9762,12.59,45.98,3.65,3.57,3.23,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
18,Johnius heterolepis-Jan-South-2,Johnius heterolepis-Jan-South,Johnius heterolepis,Jan-South,Jan,South,1.016,12.688,-16.5921,13.9,47.55,3.42,3.46,3.11,Wild,Zoobenthivore,Carnivore,Level 2 consumer,ZB,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Sciaenidae,,Johnius,Johnius heterolepis,
21,Nemipterus japonicus-Jan-South-1,Nemipterus japonicus-Jan-South,Nemipterus japonicus,Jan-South,Jan,South,1.024,14.546,-16.8689,12.76,45.45,3.56,4,3.7,Wild,Zoobenthivore/Piscivore,Carnivore,Level 3 consumer,ZB/PV,Carnivore,Carnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Percoidei,Nemipteridae,,Nemipterus,Nemipterus japonicus,
27,Parachaeturichthys polynema-Jan-South-1,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.031,12.85,-16.6228,14.42,45.89,3.18,3.51,3.16,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
28,Parachaeturichthys polynema-Jan-South-2,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.061,13.074,-16.4941,14.03,44.48,3.17,3.57,3.24,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
29,Parachaeturichthys polynema-Jan-South-3,Parachaeturichthys polynema-Jan-South,Parachaeturichthys polynema,Jan-South,Jan,South,1.038,12.973,-16.6145,14.19,45.5,3.21,3.54,3.2,Wild,Zooplanktivore/Zoobenthivore,Omnivore,Level 2 consumer,ZP/ZB,Zooplanktivore/Omnivore,Omnivore,Animalia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Perciformes,Gobioidei,Gobiidae,Gobiinae,Parachaeturichthys,Parachaeturichthys polynema,
