L3	1	10	101	102	104	105	106	107	108	109	11	110	112	113	115	117	119	122	123	124	125	127	128	129	13	130	131	132	133	134	135	136	137	138	14	141	142	143	144	145	146	147	148	149	15	150	152	153	154	155	157	158	16	160	161	162	18	21	27	28	29	30	31	32	33	34	35	36	37	38	39	42	45	46	5	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	66	67	7	70	71	72	73	74	75	77	78	79	8	82	83	84	85	86	87	88	89	9	90	92	99
Citrate cycle (TCA cycle)	160292.83	133649.82	178321.57	169829.02	76910.42	194203.91	192912.29	187572.17	192475.84	186505.77	182193.61	168356.38	166682.32	178137.11	170421.14	190404.3	182759.36	183158.8	182238	188762.76	263959.49	173663.22	195219.27	154999.01	68315.91	168846.93	193014.93	196898.48	193781.58	194431.5	188591.99	189908.07	207517.15	215859.4	33076.59	195670.35	84327.85	146499.55	40513.58	201298.79	103834.28	82510.45	180015.1	126847.35	18978.4	122548.62	260193.18	115273.44	197021.71	219865.09	158654.42	193457.57	186463.15	230486.85	167525.02	56973.27	195174.63	174895.82	199355.6	195132.12	197821.82	197541.83	84375.79	92563.67	170922.07	149385.52	178483.71	141548.29	134592.2	126330.26	170975.88	177541.15	170293.83	199422.5	183134.64	226548.94	164013.8	200058.49	226136.83	204407.66	175297.87	170707.27	196376.27	190685.91	180254.15	182889.54	173668.18	137141.6	166696	185281.13	38387.37	196953.81	189980.27	217089.78	187220.03	189060.79	171416.64	169266.22	148048.13	181527.71	198654.34	158932.99	183533.12	211624.18	126187.87	166479.84	204700.03	172190.46	196473.3	145041.95	203068.96	206781.32	170405.5	177540.34	196186.26
Fructose and mannose metabolism	97047.44	108943.68	92020.1	81239.06	92202.53	82709.42	84572.12	85522.49	89324.99	83240.59	84233.27	80981.71	103883.1	102067.69	109412.32	93163.88	93741.19	85895.65	84754.52	106433.16	203445.67	109277.8	180025.31	116160.86	48619.35	79676.33	87346.88	88192.76	87094.42	87334.08	89961.91	99916.93	98057.72	141555.22	47833.81	116255.91	102551.53	82236.97	58124.7	138579.14	103630.98	131984.87	84298.57	93450.82	52432.47	105901.8	216182.12	100142.21	143627.46	159070.7	104304.38	182897.17	88692.05	115992.56	106556.78	58351.95	191456.94	114061.56	86734.46	83726.22	84316.49	84712.95	82644.25	84325.55	116860.98	97543.18	79120.77	115785.07	121287.15	90322.05	106175.28	86064.75	107945.96	144328.27	171178.46	91044.57	105149.78	117911.73	153215.1	169257.6	104291.37	101429.81	87775.65	86213.89	83186.39	85039.31	118550.4	88740.05	112150.46	88143.1	51151.31	136319.01	86266.22	160383.25	91832.27	110002.17	94696.21	107187.91	118089.87	81362.17	120667.81	100126.82	96961.62	159698.26	125461.47	104377.7	93109.89	115031.64	88164.86	105341.98	83530.71	118635	104073.72	82388.85	108099.51
Galactose metabolism	73354.34	82967.73	77293.08	72452.14	110092.91	66643.75	69405.77	74602.93	76670.03	69010.6	66340.45	69512.78	78709.99	93917.07	86564.2	77050.11	76192.57	71016.21	72114.86	86502.17	161653.38	85653.37	108429.61	83482.27	53042.64	72030.24	69700.15	70199.18	69699.54	68833.18	68154.82	72270.2	77564.73	110096.73	34506.22	117613.4	88662.5	71309.25	44390.05	132891.69	79248.96	95915.41	64406.41	81099.19	36640.07	93427.08	179388.13	87170.28	137998.89	159043.33	87876.8	145774.05	76792.31	134287.48	81847.13	44058.34	122775.95	86455.91	65262.33	62866.99	66297.97	62645.53	56296.64	71597.72	90334.76	70812.77	67432.51	75568.53	80353.51	65448.91	79856.32	67305.72	86427.12	132354.98	118176.38	66460.23	82517.92	103305.79	123565.97	78353.18	77887.6800000001	75156.2199999999	65570.6	60370.17	69837.88	68306.6	94763.82	74203.3	91038.81	74865.84	35991.31	133096.82	70663.51	150393.99	66910.81	73930.06	76631.47	81836.53	80962.69	65287.1	106200.95	73352.09	74799.65	148555.36	101891.15	78699.77	72611.75	87469.94	66624.35	92522.83	62268.63	84322.02	81040.72	66990.86	78275.41
Glycolysis / Gluconeogenesis	187279.5	196015.42	204185.54	191040.39	184425.64	201941.24	202224.56	201729.91	216113.04	204298.06	200486.87	190684.79	218151.33	228118.45	222999.24	210099.38	209230.28	204099.45	199897.97	222515.87	329749.76	227798.89	242130.48	195898.16	94899.33	188932.29	195807.18	199985.73	208438.38	199897.72	203251.19	226610.74	244879.23	263856.79	65547.54	267849.95	168938.56	174855.3	82665.11	300678.69	178924.18	181652.66	202314.38	180234.38	58960.24	200741.06	356499.7	186898.46	303622.92	348540.15	211624.36	299985.48	205223.69	287653.41	222392.09	95403.5	251810.74	225121.15	198354.84	191408.4	204065.46	193767.53	127775.41	153261.87	227714.6	199248.69	170473.62	187354.13	180737.99	155104.61	226490.74	200262.6	218277.54	304062.72	238943.64	211382.09	216621.34	256902.6	283425.35	233084.01	219165.81	214836.56	197399.61	201099.2	197714.27	190808.68	231561.77	166590.24	228497.75	197659.7	71551.92	296341.95	198120.06	335208.98	207442.41	220184.07	197129.16	206973.57	201778.48	185885.16	257799.85	205941.5	205282.27	327592.97	230501.5	211891.76	209906.45	232219.78	190397.49	194060.18	189975.26	241622.09	220124.56	197311.14	224398.26
Glyoxylate and dicarboxylate metabolism	150730.51	128853.03	160905.76	189009.27	48924.89	193217.43	191254.87	186267.25	216092.04	196740.67	197857.13	189697.47	150553.62	189599.88	147320.3	186672.74	196868.21	189944.27	173534.16	216098.13	237748.41	160190.1	151234.96	152105.14	52664.46	187974.48	168502.13	176289.61	188743.21	173574.03	180129.33	244672.8	229523.64	204639.04	37121.3	189073.95	93723.43	159274.65	42873.44	244666.77	85798.93	69658.24	177138.67	121286.59	16613.4	101681.98	234929.2	133817.57	242279.18	279762.87	163160.53	155558.04	187253.63	231410.28	149367.61	65002.31	147208.13	152800.14	178497.69	169629.88	196345.66	166305.06	79161.17	98219.3	152303.33	135267.96	152366.02	123150.68	109209.49	97207.22	151990.91	181867.62	146337.47	227673.22	147563.49	177035.44	142001.21	216870.64	210029.32	165794.57	151919.91	142259.34	169969.75	159092.07	190942.55	157962.53	148919.97	100617.43	146009.11	173857.64	40016.85	240965.41	182038.19	264975.39	189618.33	195739.77	136794.5	151274.35	130410.38	150971.92	204838.38	141073.47	170009.42	258586.09	128562.59	143543.97	189877.41	148498.78	158803.26	113260.76	166072.77	187252.95	151509.01	165065.82	224784.59
Pentose and glucuronate interconversions	67919.48	67016.37	61949.08	72993.92	28727.25	54632.9	57459.23	66883.33	77186.53	65347.65	70129.33	72000.98	58558.72	71600.79	63454.78	75469.41	66692.68	62070.82	56349.91	83745.62	93716.35	66464.46	78518.35	64093.65	35397.68	63741.22	55518.82	52875.26	54387.84	51487.64	56594.49	85466.62	70983.96	87446.66	21242.27	95238.65	51924.68	71194.68	26533.17	96289.44	52258.22	52103.92	62811.16	56758.14	18758.3	50533.75	99457.28	58631.97	94717.14	109441.13	70546.15	83753.59	69282.49	94114.68	65247.19	29491.42	76220.07	71653.05	53488.97	52513.69	58951.88	48806.89	39469.03	47116.98	66332.51	67155.65	32211.74	40846.18	34792.88	36201.49	65651.36	66713.14	69848.55	96776.42	62977.92	46260.18	61832.62	89100.3	96052.3	78427.16	63714.1	65200.6399999999	57845.74	84716.98	72441.25	59865.43	69343.64	55009.25	65745.8	60246.51	23980.31	94842.94	64248.71	106963.21	69472.9	72845.67	47430.92	54147.25	48040.8	53435.1	85241.8900000001	60580.11	80965.63	104023.81	71582.97	62360.99	62892.29	66293.43	54215.76	46977.04	50332.67	44983.91	62794.95	55406.5	68838.65
Pentose phosphate pathway	138874.47	155640.69	144090.02	140820.42	159000.73	133202.22	137865.65	143594.35	151791.21	144941.11	140174.94	135771.28	148351.52	164523.68	154888.27	149744.66	149396.97	138532.2	138372.1	165025.43	242260.81	157949.16	195994.35	139694.02	79609.51	135438.15	134934.62	135367.98	138688.09	134700.43	136834.1	155876.68	160167.42	184518.51	52047.08	189440.21	121425.9	127568.7	62790.14	214084.49	140938.76	152189	133178.96	133287.61	47074.72	154283.15	261622.26	136084.61	216583.44	248889.62	155501.72	231383.92	144042.55	208867.37	151279.32	73428.88	180488.69	156315.92	130618.05	127517.5	134876.63	127921.47	100108.38	114882.48	158901.56	136149.39	119927.06	137226.99	130639.59	114921.79	152255.34	142065.86	151039.25	221511.08	184332.6	133455.64	146815.74	183243.21	213793.57	191958.27	149118.62	145608.11	135556.29	139167.9	141003.84	135369.05	160070.32	122362.17	154718.07	137483.9	55424.7	212536.92	141518.4	242326.61	140238.66	146397.68	140841.33	145631.52	146197.58	128999.15	182071.38	138233.11	145269.49	237468.64	176669.92	140315.19	141020.77	157140.69	128856.41	144959.52	127523.16	157641.84	152964.29	142485.02	145322.28
Starch and sucrose metabolism	117760.64	136239.52	117474.85	111619.77	108137.91	99768.73	100706.58	113770.18	121058.46	109911.56	110289.21	104686.44	115653.32	107613.62	123328.43	125491.43	116806.21	107624.75	107140.72	137551.37	317507.05	126536.88	208530.85	130292.99	68405.27	100356.33	106262.76	108064.29	106101.25	107481.06	105047.08	102500.92	143437.4	188427.81	37401.8	100853.67	86189.96	105877	52052.73	106712.85	109253.07	121969.38	94085.39	106491.88	41548.04	110534.61	291249.03	73729.12	113376.32	109940.98	121342.39	259653.82	115406.66	146060.12	120653.57	46249.36	151707.43	126125.22	100874.48	97880.05	105322.37	102202.72	72867.42	79133.39	143344.2	113475.26	70415.45	102157.82	99385.21	88817.41	121665.93	116044.51	127788.1	131469.15	241981.62	108865.35	117663.39	120957.55	201898.35	158891.17	117363.64	117164.87	104861.29	126675.13	110665.56	105445.02	130736.22	115857.45	126932.47	115713.17	41730.81	105693.11	107027.86	120544.48	98694.3	107673	114620.66	113923.62	121432.89	101516.87	131117.8	111140.61	131096.8	119291.59	126116.2	116677.93	114557.47	124641.81	102263.91	123198.35	100921.67	116516.04	119473.71	111398.21	111136.56
Glycosaminoglycan degradation	4278.18	9790.62000000001	3832.84	3533.51	1291.88	1077.11	1483.79	3628.01	3418.06	2214.85	2755.33	2743.59	3107.8	9033.26	2917.68	4012.41	3644.88	2019.72	2006.51	5759.54	31326.94	2939.82	22037.9	13325.71	2199.67	3404.24	1240.36	862.32	563.03	1174.93	767.38	3035.77	1158.66	17051.53	1600.93	15562.16	7680.1	3021.73	1101.56	22515.21	2261.44	2892.23	2216.61	7666.37	28.55	4024.93	37054.03	14652.53	24619.69	29679.03	9637.57	25600.03	2248.88	29631.06	4454.27	5168.27	25048.65	5243.69	589.4	675.62	654.31	928.07	7103.46	7307.22	6479.86	3040.87	74.61	1046.73	4498.24	5087.58	2824.94	3407.65	4886.66	20692.85	25681.55	2496.8	3528.35	11406.86	19490.85	14370.52	3289.19	3157.26	1936.54	4441.1	2365.46	1725.56	5204.64	6691.87	4799.22	1947.45	2031.77	22317.52	3075.34	27055.19	1616.59	1879.1	479.85	3532.21	1410.95	1546.16	14856.12	3106.08	6174.07	28053.31	11499.31	3279.58	3309.64	3233.65	2591.84	4164.17	1521.44	5327.14	3463.09	964.87	2756.89
