Herbivore/Omnivore,Piscivore,Zoobenthivore,Zoobenthivore/Piscivore,Zooplanktivore/Zoobenthivore,HOOV_pre,ZPZB_pre,ZB_pre,ZBPV_pre,PV_pre,Kingdom,Phylum,Class,Order,Family,Genus,Species
cb720d3411936d6186da3ece2e606d1d,0,0,0,4.264274e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
c8db88dce74c181fac31fbde20a6b909,0,0,0.0001993305,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
83a3f24f898cc29bb6267d4d63152c9e,0,0,0.0001506056,0,0,0,0,0.027027027027027,0,0,Bacteria,Chloroflexi,Anaerolineae,GCA004,,,
8d65affbed41eb184d0b5e550aca1f79,0,0,6.273784e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,
eed9e4a3213f40d8c9292f288073b2af,6.927607e-05,0,0,0,0,0.0714285714285714,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,OM60,,
80eae09c48cc018ce27a946b6f437e25,0,0,4.873247e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
cdff668a44d4681bd2025c196d1614f3,0,0.0002509446,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,,
fb3a86f2cf9659f1f829ee359033eedd,0,0,0,0,0.0001314406,0,0.125,0,0,0,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
96fc66d4975865cfff3347c4262eaad9,0,0,0,3.164673e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
5abc51414cf28f09822967b132a20eca,0,0.0007077856,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
0604bcccf2090013225018fb5d4b9011,0,0,9.283885e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Gemmatimonadetes,Gemm-4,,,,
7490dc796bc0a99d585a35de86b1467b,0,0,1.246442e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
6700b638e631e3dda3be8ddae0a7c27d,0,0.0003731209,0,0,0,0,0,0,0,0.111111111111111,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
ceb1c17a7cc9dc45a68d4722a5937f97,0,0,0,4.807852e-05,0,0,0,0,0.0212765957446809,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
b31e7dbeecd295aa88a304c96aaffa63,0,0,6.84311e-05,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,,
ba316dd2478c28bddb09284e2fcfa176,0,0,0,0,0.0001266365,0,0.125,0,0,0,Bacteria,SBR1093,VHS-B5-50,,,,
90f7354bb6de341be8eb18af3a2d451b,0,0,0.0001422475,0,0,0,0,0.027027027027027,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
3583acb8c95934cf642d5098d05cc178,0,0,0,0.0001630555,0,0,0,0,0.0212765957446809,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,
